Hardwork,Skills,Label
1.4833584177238137,6.135020497975034,C Tier
52.864104329494,48.89703653279982,B Tier
67.5566829763041,19.35918274430542,D Tier
52.7976839674418,43.65007577609809,B Tier
45.06008035082767,74.97826822575537,B Tier
85.8784062099054,74.3166129146523,A Tier
38.591416435300104,65.67380094524663,B Tier
23.826755903218338,56.802662599185844,B Tier
45.51233308471285,57.86456386863156,B Tier
44.87191900746879,58.85093854500385,B Tier
61.789127369023475,13.611011039254493,D Tier
9.64794960487118,17.771003325416324,C Tier
82.27709603882914,17.079684146465823,D Tier
86.53597906638535,10.459371226598186,D Tier
39.14974238524792,77.14644668729531,B Tier
26.432058195355673,45.24682167712048,B Tier
54.28723396525767,47.644953896988085,B Tier
40.65387962227075,60.15404697842246,B Tier
57.519355458730885,48.939132941673506,B Tier
36.36504779698512,83.27918007295509,B Tier
57.143115722758,54.611933885703486,B Tier
65.07352233286089,51.73246341435335,B Tier
50.560716020972606,61.83349118446954,B Tier
28.8600883338309,55.96019457703537,B Tier
44.50313493239561,39.595512366307815,B Tier
38.851818112243066,50.10952355622737,B Tier
45.29616532933153,66.87311042988067,B Tier
22.834652268215876,43.877739268557306,B Tier
41.7710857165686,53.73501695674295,B Tier
73.38852584572575,63.599132160749384,C Tier
65.54759789467062,19.83296370514242,D Tier
34.55241477350353,54.95300676981218,B Tier
15.33622540963256,7.20624801504014,C Tier
10.511647375807119,20.263464820751466,C Tier
52.10339263131708,83.11347355295005,B Tier
15.171263276883938,11.466329274667624,C Tier
29.498921326964165,61.93320071882778,B Tier
51.703076250732494,54.215281310891385,B Tier
49.88593996780738,40.78563633357339,B Tier
35.09866471679317,48.65744459191147,B Tier
70.26632213528805,10.26793082660059,D Tier
69.93484089896741,18.400394361391577,D Tier
39.889379557869674,74.19670984098298,B Tier
35.3026203600987,48.92595945262583,B Tier
58.49274923269206,62.154977544949524,B Tier
66.3658749986185,10.61888084163509,D Tier
90.63287201371674,10.366695652509062,C Tier
84.30703352607615,12.911184683378664,D Tier
11.94931161507591,7.049354478309481,C Tier
44.484413165704595,55.43760182192903,B Tier
68.41715764673368,23.110766740710964,D Tier
43.063234064171255,71.455922298974,B Tier
38.94827017381286,57.71079295283779,B Tier
8.145344995844777,7.461129129567949,C Tier
59.00093660624069,16.592349297690525,D Tier
73.11463452424425,16.12284907902678,D Tier
72.73702380132661,13.24447069893563,D Tier
11.010125581982635,25.60743459882511,C Tier
47.88350349900556,49.914691567847,B Tier
17.376915440595308,9.394701784572195,C Tier
18.064852146956767,56.727890772980736,B Tier
83.09185675021381,91.21427909270646,A Tier
63.61640236988343,18.241816659281767,D Tier
62.154199150854915,13.750505308408599,D Tier
24.867728487071307,35.371318736241264,B Tier
17.938648135183243,6.188850744650508,C Tier
43.84329418523345,72.02654346090671,B Tier
58.98688713791513,8.355108786460015,D Tier
15.25219282241794,4.85453433741269,C Tier
9.765454940517964,14.104831765909339,C Tier
43.36463748598327,62.11532079464473,B Tier
17.136067182113774,6.459563198111022,C Tier
67.46666447105467,76.9725941312655,B Tier
69.12319012666029,16.08064453096268,D Tier
13.504608046251239,11.030889012555923,C Tier
21.95700841675363,52.76835111400281,B Tier
57.47719327520038,72.14881649894619,B Tier
28.029849453584788,20.104359463842936,D Tier
89.18661719315703,80.93516917458676,A Tier
84.86426142696527,77.70868220959744,A Tier
7.583398644393181,5.76759703497928,C Tier
67.46813258020029,34.439255249749415,B Tier
14.228275546501663,4.06169320688822,C Tier
68.38326905883498,16.307434119086366,D Tier
63.07909992740774,6.933116539158483,D Tier
45.15608605048008,72.1243339403016,B Tier
79.01251396634267,17.995418806649177,D Tier
34.60738974181602,79.53933711187344,B Tier
86.0020459642456,81.37155419033289,A Tier
79.54700987756135,76.91620689526553,A Tier
89.74445959104435,15.827226846461828,D Tier
75.68929672607689,12.143726160395033,D Tier
49.327868022960516,76.59640863684943,B Tier
4.945140209462342,18.082128952912104,C Tier
7.427174626676582,16.115941979008205,C Tier
37.03160802381448,79.78385498105264,A Tier
86.46359101163023,82.18618349654798,A Tier
80.89697785399585,52.25862269828811,B Tier
53.17191662885426,56.16083223242086,B Tier
16.6165744751778,14.15409410230761,C Tier
73.65365247585888,20.76174582699491,D Tier
15.797210318820799,15.721220749710934,C Tier
49.521172129567134,74.40724630401573,B Tier
37.41892676853156,50.23636777808474,B Tier
17.402141286377187,14.392052464996594,C Tier
70.3657339161292,22.735473682621084,D Tier
17.957660962561835,10.773907716112177,C Tier
29.56067844541272,39.2144288192419,B Tier
93.28067633403028,23.823142798400664,C Tier
15.60563243482396,16.262564997799185,C Tier
64.57781315904509,17.819228212817883,D Tier
52.50277801971899,72.98036462234785,B Tier
14.8037567735223,11.518968104844436,C Tier
80.36604798680108,16.568002399454414,D Tier
19.125344023581754,4.622924460628106,C Tier
78.13633272074154,84.93809381462388,A Tier
51.35140887087358,49.74229866086415,B Tier
13.739280728579315,1.876239293096891,C Tier
9.83252242006305,91.6707538466469,D Tier
92.1486984082437,10.766009171087909,A Tier
54.07738877584673,56.136636202751305,B Tier
67.34721299879602,38.540247687793226,B Tier
84.27455110380868,84.399103334299,A Tier
70.25888619258728,16.397104898717473,D Tier
65.87073194536157,58.684559056386206,B Tier
39.862300991120875,62.45243029465363,B Tier
16.822918188876358,18.96905075047053,C Tier
28.079310703185513,17.338412172693133,C Tier
3.012459061582176,8.275480553093356,C Tier
54.0642528090845,62.26689957040684,B Tier
35.717614960041686,79.86983589159087,B Tier
2.1182597357710553,15.064837614031845,C Tier
14.754591656692718,4.501152982548765,C Tier
22.58621491755023,50.96045398261617,B Tier
29.342646291811988,40.43211634013667,B Tier
92.72564104177785,75.47989237692614,A Tier
97.61852774392565,83.83090662996807,A Tier
72.0857680687375,4.493816595991504,D Tier
30.360428422915447,58.210056189547494,B Tier
63.76013243986928,12.14143507793085,D Tier
88.56622635088196,73.76237885624992,A Tier
18.43518796120256,8.775651067868283,C Tier
30.483566733052115,44.43576221726988,B Tier
40.41478728340495,55.80841305918509,B Tier
94.58431407580599,84.92968455418149,A Tier
69.28591032789267,13.220839049078059,D Tier
1.2828651517157554,12.30946909092862,C Tier
62.92910775834271,14.26041882266027,D Tier
66.98681824134604,19.746114371155848,D Tier
48.280880251517296,43.668741862388416,B Tier
85.65457057198027,26.217501934861897,C Tier
15.894599507173709,54.80155251191657,B Tier
14.845109091888231,8.693083339262817,C Tier
11.669233084724219,9.45635493833034,C Tier
46.11075949113543,47.108640206141274,B Tier
77.81303396699491,16.904126583027917,D Tier
70.34073089333498,33.732427197784006,B Tier
10.486395043597867,7.775565594790067,C Tier
62.104373083403516,5.580725936867026,D Tier
75.96570772888609,13.834627493732164,D Tier
31.288525003586052,51.71887351343459,B Tier
13.464391020968659,10.770658568785464,C Tier
83.38068688923865,81.67603909555228,A Tier
66.41172057912334,14.076884531564396,D Tier
72.41490371493356,15.82111145174963,D Tier
61.11366837706836,22.089604934857185,D Tier
67.72238369265611,15.758067267599962,D Tier
45.70520736722956,38.681320827250445,B Tier
71.17319498270261,7.7082908058907975,D Tier
73.43588913587627,8.322670822931741,D Tier
70.91408728719344,58.8746575559712,C Tier
66.0748072861652,16.859422608761854,D Tier
16.438624045907716,22.281332515307145,C Tier
20.881967002069224,24.068531485652915,C Tier
78.87542556418965,82.72355831871619,A Tier
4.0128288326308805,4.734727831458162,C Tier
14.669097112828132,17.07847299482429,C Tier
78.83030616113308,20.618691112715283,D Tier
50.22648054445645,34.05092730788756,B Tier
62.42436167407709,60.5252471353849,B Tier
56.83000864737326,15.472277793526288,D Tier
19.78360418042801,12.709892759420573,C Tier
73.14472861240779,5.863843207029959,D Tier
58.78245816989363,60.684364169908385,B Tier
39.705822218968265,51.99245324387664,B Tier
93.81006351245176,79.49147137703586,A Tier
10.642660722332081,14.19576024211269,C Tier
92.81615261940172,81.82355300407717,A Tier
50.02978574231881,59.74093687887631,B Tier
39.847855827321894,36.52767569007939,B Tier
62.60425456059077,22.631370967748516,D Tier
57.87367850669787,10.929703607964932,D Tier
65.10935180098066,17.93698344432771,D Tier
27.578210896599543,16.166476114854788,C Tier
48.260294814648105,52.98670355239061,B Tier
28.62008897526872,47.220087014162495,B Tier
70.3136315383464,12.337139803233782,D Tier
49.65893000511957,64.05523971734239,B Tier
13.340651435308992,10.380009513514727,C Tier
54.80855569448822,42.397005847015066,B Tier
46.88587711273246,65.9354317006861,B Tier
